Yaş,Cinsiyet,Meslek,Mutluyken,Üzgünken,Öfkeliyken
21,Erkek,Öğrenci,Doğa Yürüyüşü,Yürüyüş (Doğa - Sahil - Park),Müzik Dinlemek
21,Kadın,Öğrenci,Müzik Dinlemek,Birileriyle Konuşmak,Derin Nefes Egzersizi
24,Erkek,Öğrenci,Dans Etmek,Birileriyle Konuşmak,Mola Vermek
20,Erkek,Öğrenci,Müzik Dinlemek,Film - Dizi İzlemek,Müzik Dinlemek
19,Erkek,Öğrenci,Spor Yapmak (Bisiklet - Koşu - Yüzme),Film - Dizi İzlemek,Müzik Dinlemek
18,Erkek,Öğrenci,Doğa Yürüyüşü,Günlük Yazma,Mola Vermek
22,Erkek,Yazılım Geliştiricisi,Spor Yapmak (Bisiklet - Koşu - Yüzme),Birileriyle Konuşmak,Mola Vermek
20,Erkek,Öğrenci,Doğa Yürüyüşü,Yürüyüş (Doğa - Sahil - Park),Derin Nefes Egzersizi
20,Kadın,Bilgisayar Mühendisi,Dans Etmek,Yürüyüş (Doğa - Sahil - Park),Derin Nefes Egzersizi
20,Kadın,Öğrenci,Müzik Dinlemek,Günlük Yazma,Müzik Dinlemek
21,Erkek,Öğrenci,Dans Etmek,Şiir Yazmak,Mola Vermek
23,Kadın,Öğrenci,Oyun Oynamak,Şiir Yazmak,Duş Almak
21,Erkek,Öğrenci,Oyun Oynamak,Yürüyüş (Doğa - Sahil - Park),Mola Vermek
20,Erkek,Öğrenci,Doğa Yürüyüşü,Film - Dizi İzlemek,Mola Vermek
23,Erkek,Yazılım Geliştiricisi,Müzik Dinlemek,Yürüyüş (Doğa - Sahil - Park),Motorsiklet Sürmek
20,Erkek,Ofis de beyaz yaka çalışan,Müzik Dinlemek,Film - Dizi İzlemek,Duş Almak - Mola Vermek
21,Kadın,Bilgisayar Mühendisi,Spor Yapmak (Bisiklet - Koşu - Yüzme),Yürüyüş (Doğa - Sahil - Park),Müzik Dinlemek
20,Erkek,Öğrenci,Spor Yapmak (Bisiklet - Koşu - Yüzme),Birileriyle Konuşmak,Yürümek
20,Kadın,Öğrenci,El İşi (Resim - heykel - dikiş nakış),Meditasyon - Yoga,Mola Vermek
22,Erkek,Öğrenci,Müzik Dinlemek,Yürüyüş (Doğa - Sahil - Park),Müzik Dinlemek
19,Kadın,Öğrenci,Doğa Yürüyüşü,Günlük Yazma,Müzik Dinlemek
22,Erkek,Öğrenci,Müzik Dinlemek,Birileriyle Konuşmak,Mola Vermek
22,Erkek,Yazılım Geliştiricisi,Müzik Dinlemek,Birileriyle Konuşmak,Mola Vermek
20,Erkek,Öğrenci,Spor Yapmak (Bisiklet - Koşu - Yüzme),Günlük Yazma,Duş Almak
22,Erkek,Öğrenci,Doğa Yürüyüşü,Dizi İzlemek,Mola Vermek
20,Erkek,Öğrenci,Oyun Oynamak,Birileriyle Konuşmak,Mola Vermek
21,Kadın,Öğrenci,El İşi (Resim - heykel - dikiş nakış),Birileriyle Konuşmak,Duş Almak
22,Kadın,Öğrenci,Dans Etmek,Yürüyüş (Doğa - Sahil - Park),Duş Almak
21,Erkek,Öğrenci,Müzik Dinlemek,Yürüyüş (Doğa - Sahil - Park),Derin Nefes Egzersizi
21,Kadın,Bilgisayar Mühendisi,Müzik Dinlemek,Birileriyle Konuşmak,Mola Vermek
23,Erkek,Öğrenci,Spor Yapmak (Bisiklet - Koşu - Yüzme),Günlük Yazma,Müzik Dinlemek
21,Erkek,Öğrenci,Müzik Dinlemek,Yürüyüş (Doğa - Sahil - Park),Derin Nefes Egzersizi
21,Erkek,Öğrenci,Dans Etmek,Yürüyüş (Doğa - Sahil - Park),Derin Nefes Egzersizi
21,Erkek,Yazılım Geliştiricisi,El İşi (Resim - heykel - dikiş nakış),Film - Dizi İzlemek,Mola Vermek
24,Kadın,Diş Hekimi,Spor Yapmak (Bisiklet - Koşu - Yüzme),Yürüyüş (Doğa - Sahil - Park),Duş Almak
21,Kadın,Öğrenci,El İşi (Resim - heykel - dikiş nakış),Günlük Yazma,Müzik Dinlemek
29,Erkek,Bilgisayar Mühendisi,Müzik Dinlemek,Birileriyle Konuşmak,Derin Nefes Egzersizi
23,Erkek,Bilgisayar Mühendisi,Doğa Yürüyüşü,Film - Dizi İzlemek,Mola Vermek
21,Kadın,Öğrenci,El İşi (Resim - heykel - dikiş nakış),Yürüyüş (Doğa - Sahil - Park),Duş Almak
25,Erkek,Endüstri Mühendisi,El İşi (Resim - heykel - dikiş nakış),Film - Dizi İzlemek,Duş Almak
21,Erkek,Öğrenci,Spor Yapmak (Bisiklet - Koşu - Yüzme),Film - Dizi İzlemek,Mola Vermek
24,Erkek,Bilgisayar Mühendisi,Doğa Yürüyüşü,Yürüyüş (Doğa - Sahil - Park),Derin Nefes Egzersizi
20,Erkek,Öğrenci,Spor Yapmak (Bisiklet - Koşu - Yüzme),Günlük Yazma,Mola Vermek
20,Erkek,Öğrenci,Müzik Dinlemek,Yürüyüş (Doğa - Sahil - Park),Mola Vermek
19,Kadın,Bilgisayar Mühendisi,Müzik Dinlemek,Birileriyle Konuşmak,Düşünmek
21,Erkek,Tıp öğrencisi,Dans Etmek,Film - Dizi İzlemek,Mola Vermek
20,Kadın,Öğrenci,El İşi (Resim - heykel - dikiş nakış),Film - Dizi İzlemek,Duş Almak
21,Kadın,Öğrenci,Spor Yapmak (Bisiklet - Koşu - Yüzme),Birileriyle Konuşmak,Müzik Dinlemek
22,Erkek,Mobil Uygulama Geliştiricisi,Dans Etmek,Film - Dizi İzlemek,Mola Vermek
25,Erkek,Bilgisayar Mühendisi,Müzik Dinlemek,Yürüyüş (Doğa - Sahil - Park),Derin Nefes Egzersizi
22,Erkek,Öğrenci,El İşi (Resim - heykel - dikiş nakış),Film - Dizi İzlemek,Duş Almak
22,Erkek,Öğrenci,Müzik Dinlemek,Birileriyle Konuşmak,Müzik Dinlemek
28,Erkek,Bilgisyar Mühendisi,Müzik Dinlemek,Yürüyüş (Doğa - Sahil - Park),Mola Vermek
21,Kadın,Öğrenci,Doğa Yürüyüşü,Film - Dizi İzlemek,Duş Almak
19,Kadın,Öğrenci,Spor Yapmak (Bisiklet - Koşu - Yüzme),Yürüyüş (Doğa - Sahil - Park),Müzik Dinlemek
21,Kadın,Öğrenci,Doğa Yürüyüşü,Film - Dizi İzlemek,Mola Vermek
22,Erkek,Öğrenci,Dans Etmek,Birileriyle Konuşmak,Derin Nefes Egzersizi
